candidate,constituency_count
FAYJUDDIN LASKAR,1
FIRDAUS ALI MOLLA,1
FIRDOUSI BEGAM,1
FIRHAD HAKIM,1
FIROJ ALAM,1
FIROJ RAHAMAN,1
FIROZA KHATUN,1
FORIDA YASMIN,1
FULCHAND HANSDA,1
GAJENDRA  BARMAN,1
GANESH BOURI,1
GANESH CHANDRA MONDAL,1
GANESH KISKU,1
GANESHLAL GUPTA,1
GANESH MAHATO,1
GANESH MAJHI,1
GARGI CHATTERJEE,1
GARGI DAS GHOSH,1
GAURAB PRASAD,1
GAURHARI PATRA,1
GAUTAM CHOWDHURY,1
GAUTAM GOSWAMI,1
GAUTAM GOSWAMI,1
GAUTAM PAL,1
GAUTAM RAY,1
GAUTAM SARKAR,1
GAUTAM VERMA,1
GHANASHYAM DAS,1
GHOSH TAPAN KUMAR,1
GIRIDHARI PRAMANIK,1
GIRIJA SHANKAR RAY,1
GIRI RAMAPRASAD,1
GOBINDA HAZRA,1
GOBINDA KUMAR SARDAR,1
GOBINDA NASKAR,1
GOBINDA PODDER,1
GOBINDA SARKAR,1
GOKUL HAZRA,1
GOKUL KHATICK,1
GOLAK MANDAL,1
GOLAM KIBRIA,1
GOLAM MD NIZAMUDDIN,1
GOLAM MORTUJA MONDAL,1
GOLAPI ROY,1
GOLAPI SAREN,1
GOPAL BISWAS,1
GOPAL CHANDRA KISKU,1
GOPAL CHANDRA PATRA,1
GOPAL CHANDRA SAHA,1
GOPAL CHANDRA SIL,1
GOPAL CHATTOPADHYAY,1
GOPAL DAS,1
GOPAL GHOSH,1
GOPAL GHOSH,1
GOPAL MANDAL,1
GOPINATH DEY,1
