constituency,constituency_code,runner_up_votes,winning_party,winning_votes,vote_difference
BAGHMUNDI,S25240,71846,Bharatiya Janata Party,112663,40817
ASANSOL DAKSHIN,S25280,78743,Bharatiya Janata Party,119582,40839
MADARIHAT,S2514,61578,Bharatiya Janata Party,102488,40910
BARJORA,S25253,84109,Bharatiya Janata Party,125419,41310
BALAGARH,S25191,83710,Bharatiya Janata Party,125624,41914
CHUNCHURA,S25190,94269,Bharatiya Janata Party,137704,43435
RAGHUNATHPUR,S25246,83569,Bharatiya Janata Party,127628,44059
PHANSIDEWA,S2527,72978,Bharatiya Janata Party,118241,45263
SANTIPUR,S2586,72565,Bharatiya Janata Party,117941,45376
FALAKATA,S2513,88371,Bharatiya Janata Party,134370,45999
BAISNABNAGAR,S2554,61811,Bharatiya Janata Party,108692,46881
CHHATNA,S25248,78798,Bharatiya Janata Party,125972,47174
BALURGHAT,S2539,48121,Bharatiya Janata Party,95697,47576
GAIGHATA,S2597,73639,Bharatiya Janata Party,121322,47683
HALDIA,S25209,83121,Bharatiya Janata Party,132183,49062
PURULIA,S25242,79201,Bharatiya Janata Party,128454,49253
GOGHAT,S25201,84916,Bharatiya Janata Party,134498,49582
