constituency_code,candidate,party,constituency,state,runner_votes
S25252,DR. ANUP MANDAL,All India Trinamool Congress,BANKURA,WEST BENGAL,82815
S25222,MONGAL SAREN,All India Trinamool Congress,JHARGRAM,WEST BENGAL,82730
S25250,THAKURMANI SAREN,All India Trinamool Congress,RAIPUR,WEST BENGAL,82701
S25241,ARJUN MAHATO,All India Trinamool Congress,JOYPUR,WEST BENGAL,82450
S25152,AROOP BISWAS,All India Trinamool Congress,TOLLYGANJ,WEST BENGAL,82394
S25264,DEBO PRASAD BAG (POLTU),All India Trinamool Congress,KALNA,WEST BENGAL,82160
S2534,NITAI BAISHYA,All India Trinamool Congress,KALIAGANJ,WEST BENGAL,81924
S25136,ALOKE HALDER,Bharatiya Janata Party,JAYNAGAR,WEST BENGAL,81844
S25263,CHOWDHURI SIDDIQULLAH,All India Trinamool Congress,MONTESWAR,WEST BENGAL,81761
S2596,RITUPARNA ADDHYA,All India Trinamool Congress,BANGAON DAKSHIN,WEST BENGAL,81585
S25269,VASUNDHARA GOSWAMI,All India Trinamool Congress,PURBASTHALI UTTAR,WEST BENGAL,81153
S25133,ABANI NASKAR,Bharatiya Janata Party,KULPI,WEST BENGAL,80883
S2558,JAKIR HOSSAIN,All India Trinamool Congress,JANGIPUR,WEST BENGAL,80659
S25255,TANMAY GHOSH (BUMBA),All India Trinamool Congress,BISHNUPUR,WEST BENGAL,80477
S25156,DR TARUN KUMAR ADAK,Bharatiya Janata Party,BUDGE BUDGE,WEST BENGAL,80241
S25283,BIDHAN UPADHYAY,All India Trinamool Congress,BARABANI,WEST BENGAL,80055
S25138,Prasanta Bayen,Bharatiya Janata Party,CANNING PASCHIM,WEST BENGAL,79883
S25171,BIPLAB KUMAR MANDAL,Bharatiya Janata Party,HOWRAH MADHYA,WEST BENGAL,79865
S25245,MANIK CHANDRA BAURI,All India Trinamool Congress,PARA,WEST BENGAL,79767
S2592,DR. ATINDRA NATH MONDAL,All India Trinamool Congress,KALYANI,WEST BENGAL,79677
S25278,KALOBARAN MONDAL,All India Trinamool Congress,RANIGANJ,WEST BENGAL,79630
S25242,SUJOY BANERJEE,All India Trinamool Congress,PURULIA,WEST BENGAL,79201
S25193,BIDESH RANJAN BOSE,All India Trinamool Congress,SAPTAGRAM,WEST BENGAL,79125
S2580,BAPAN GHOSH,Bharatiya Janata Party,KALIGANJ,WEST BENGAL,79120
S25275,NARENDRANATH CHAKRABORTY,All India Trinamool Congress,PANDABESWAR,WEST BENGAL,79103
S2588,SAMIR KUMAR PODDAR,All India Trinamool Congress,KRISHNAGANJ,WEST BENGAL,78939
S25249,TANUSHREE HANSDA,All India Trinamool Congress,RANIBANDH,WEST BENGAL,78876
S25248,SWAPAN KUMAR MONDAL,All India Trinamool Congress,CHHATNA,WEST BENGAL,78798
S2598,TARAK SAHA,Bharatiya Janata Party,SWARUPNAGAR,WEST BENGAL,78796
S25280,TAPAS BANERJEE,All India Trinamool Congress,ASANSOL DAKSHIN,WEST BENGAL,78743
S25102,ARINDAM DEY,Bharatiya Janata Party,AMDANGA,WEST BENGAL,78675
S2595,BISWAJIT DAS,All India Trinamool Congress,BANGAON UTTAR,WEST BENGAL,78647
S2591,SUBHANKAR SINGHA (JISHU),All India Trinamool Congress,CHAKDAHA,WEST BENGAL,78488
S25150,DEBABRATA MAJUMDAR (MALAY),All India Trinamool Congress,JADAVPUR,WEST BENGAL,78483
S25276,PRADIP MAZUMDAR,All India Trinamool Congress,DURGAPUR PURBA,WEST BENGAL,77954
S2579,ANIMA DUTTA,Bharatiya Janata Party,PALASHIPARA,WEST BENGAL,77787
S2521,SANJAY KUJUR,All India Trinamool Congress,NAGRAKATA,WEST BENGAL,77620
S25260,KHOKAN DAS,All India Trinamool Congress,BARDHAMAN DAKSHIN,WEST BENGAL,77284
S25277,KABI DUTTA,All India Trinamool Congress,DURGAPUR PASCHIM,WEST BENGAL,77131
S25282,ABHIJIT GHATAK,All India Trinamool Congress,KULTI,WEST BENGAL,77072
S25186,TANMOY GHOSH,All India Trinamool Congress,SREERAMPUR,WEST BENGAL,76959
S2511,BIRENDRA BARA (ORAON),All India Trinamool Congress,KALCHINI,WEST BENGAL,76916
S25110,CHANDRIMA BHATTACHARYA,All India Trinamool Congress,DUM DUM UTTAR,WEST BENGAL,76880
S25141,UTTAM KUMAR BANIK,Bharatiya Janata Party,MAGRAHAT PURBA,WEST BENGAL,76805
S25107,TRINANKUR BHATTACHARJEE,All India Trinamool Congress,NOAPARA,WEST BENGAL,76759
S2541,Goutam Das,All India Trinamool Congress,GANGARAMPUR,WEST BENGAL,76744
S2563,ABDUL SOUMIK HOSSAIN,All India Trinamool Congress,RANINAGAR,WEST BENGAL,76722
S2532,GOUTAM PAUL,All India Trinamool Congress,KARANDIGHI,WEST BENGAL,76391
S2538,SUBHENDU SARKAR,Bharatiya Janata Party,KUMARGANJ,WEST BENGAL,76106
S2590,SOUGATA KUMAR BURMAN,All India Trinamool Congress,RANAGHAT DAKSHIN,WEST BENGAL,75546
S2585,UJJAL BISWAS,All India Trinamool Congress,KRISHNANAGAR DAKSHIN,WEST BENGAL,75061
S25292,NIKHIL BANERJEE,Bharatiya Janata Party,HANSAN,WEST BENGAL,74925
S2589,BARNALI DEY ROY,All India Trinamool Congress,RANAGHAT UTTAR PURBA,WEST BENGAL,74492
S25251,FALGUNI SINGHABABU,All India Trinamool Congress,TALDANGRA,WEST BENGAL,74464
S25293,ANIL KUMAR SINGH,Bharatiya Janata Party,NALHATI,WEST BENGAL,74298
S2548,ABISHEK SINGHANIA,Bharatiya Janata Party,RATUA,WEST BENGAL,74272
S2517,KRISHNA DAS,All India Trinamool Congress,JALPAIGURI,WEST BENGAL,74182
S25114,BRATYABRATA BASU,All India Trinamool Congress,DUM DUM,WEST BENGAL,73908
S2597,NAROTTAM BISWAS,All India Trinamool Congress,GAIGHATA,WEST BENGAL,73639
