constituency_code,state,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,vote_difference
S04109,BIHAR,DARAUNDA,KARNJEET SINGH ALIAS VYAS SINGH,Bharatiya Janata Party,87047,AMARNATH YADAV,Communist Party of India (Marxist-Leninist) (Liberation),68680,18367
S0464,BIHAR,KADWA,DULAL CHANDRA GOSWAMI,Janata Dal (United),99274,SHAKEEL AHMAD KHAN,Indian National Congress,80906,18368
S0482,BIHAR,DARBHANGA RURAL,RAJESH KUMAR MANDAL,Janata Dal (United),80624,LALIT KUMAR YADAV,Rashtriya Janata Dal,62232,18392
S04123,BIHAR,HAJIPUR,AWADHESH SINGH,Bharatiya Janata Party,113221,DEO KUMAR CHAURASIA,Rashtriya Janata Dal,94712,18509
S04165,BIHAR,MUNGER,KUMAR PRANAY,Bharatiya Janata Party,108028,AVINASH KUMAR VIDYARTHI,Rashtriya Janata Dal,89278,18750
S04204,BIHAR,MOHANIA,SANGITA KUMARI,Bharatiya Janata Party,76290,RAVI SHANKAR PASWAN,Independent,57538,18752
S0451,BIHAR,SIKTI,VIJAY KUMAR MANDAL,Bharatiya Janata Party,111342,HARI NARAYAN PRAMANIK,Vikassheel Insaan Party,92020,19322
S04194,BIHAR,ARRAH,SANJAY SINGH (TIGER),Bharatiya Janata Party,94201,QUYAMUDDIN ANSARI,Communist Party of India (Marxist-Leninist) (Liberation),74620,19581
S0429,BIHAR,RUNNISAIDPUR,PANKAJ KUMAR,Janata Dal (United),93672,CHANDAN KUMAR,Rashtriya Janata Dal,73935,19737
S04187,BIHAR,MANER,BHAI BIRENDRA,Rashtriya Janata Dal,110798,JITENDRA YADAV,Lok Janshakti Party (Ram Vilas),90764,20034
S0491,BIHAR,BOCHAHAN,BABY KUMARI,Lok Janshakti Party (Ram Vilas),108186,AMAR KUMAR PASWAN,Rashtriya Janata Dal,87870,20316
S0436,BIHAR,MADHUBANI,MADHAW ANAND,Rashtriya Lok Morcha,97956,SAMIR KUMAR MAHASETH,Rashtriya Janata Dal,77404,20552
S04136,BIHAR,SARAIRANJAN,VIJAY KUMAR CHOUDHARY,Janata Dal (United),102792,ARBIND KUMAR SAHANI,Rashtriya Janata Dal,81994,20798
S04112,BIHAR,MAHARAJGANJ,HEM NARAYAN SAH,Janata Dal (United),86813,VISHAL KUMAR JAISWAL,Rashtriya Janata Dal,65714,21099
S04222,BIHAR,KUTUMBA,LALAN RAM,Hindustani Awam Morcha (Secular),84727,RAJESH KUMAR,Indian National Congress,63202,21525
S0487,BIHAR,JALE,JIBESH KUMAR,Bharatiya Janata Party,100496,RISHI MISHRA,Indian National Congress,78634,21862
S04207,BIHAR,CHENARI,MURARI PRASAD GAUTAM,Lok Janshakti Party (Ram Vilas),95579,MANGAL RAM,Indian National Congress,73591,21988
S046,BIHAR,NAUTAN,NARAYAN PRASAD,Bharatiya Janata Party,101952,AMIT KUMAR,Indian National Congress,79880,22072
S0463,BIHAR,KATIHAR,TARKISHORE PRASAD,Bharatiya Janata Party,100255,SAURAV KUMAR AGARWAL,Vikassheel Insaan Party,78101,22154
S0469,BIHAR,KORHA,KAVITA DEVI,Bharatiya Janata Party,123495,PUNAM KUMARI,Indian National Congress,101238,22257
S048,BIHAR,BETTIAH,RENU DEVI,Bharatiya Janata Party,91907,WASHI AHMAD,Indian National Congress,69534,22373
S04130,BIHAR,PATEPUR,LAKHENDRA KUMAR RAUSHAN,Bharatiya Janata Party,108356,PREMA CHAUDHARY,Rashtriya Janata Dal,85976,22380
S04160,BIHAR,DHORAIYA,MANISH KUMAR,Janata Dal (United),113011,TRIBHUWAN PRASAD,Rashtriya Janata Dal,90585,22426
S04169,BIHAR,SHEIKHPURA,RANDHIR KUMAR SONI,Janata Dal (United),82922,VIJAY KUMAR S/O GANGA KUMAR YADAV,Rashtriya Janata Dal,60375,22547
S0430,BIHAR,BELSAND,AMIT KUMAR,Lok Janshakti Party (Ram Vilas),82076,SANJAY KUMAR GUPTA,Rashtriya Janata Dal,59391,22685
S04113,BIHAR,EKMA,MANORANJAN SINGH,Janata Dal (United),84077,SRIKANT YADAV,Rashtriya Janata Dal,61369,22708
S04238,BIHAR,GOBINDPUR,BINITA MEHTA,Lok Janshakti Party (Ram Vilas),72581,PURNIMA YADAV,Rashtriya Janata Dal,49675,22906
S0455,BIHAR,KOCHADHAMAN,MD. SARWAR ALAM,All India Majlis-E-Ittehadul Muslimeen,81860,MUJAHID ALAM,Rashtriya Janata Dal,58839,23021
S04149,BIHAR,KHAGARIA,BABLU KUMAR,Janata Dal (United),93988,CHANDAN KUMAR ALIAS DR. CHANDAN YADAV,Indian National Congress,70573,23415
S0488,BIHAR,GAIGHAT,KOMAL SINGH,Janata Dal (United),108104,NIRANJAN ROY,Rashtriya Janata Dal,84687,23417
S0426,BIHAR,SURSAND,PROF. NAGENDRA RAUT,Janata Dal (United),104157,SYED ABU DOJANA,Rashtriya Janata Dal,80490,23667
S04161,BIHAR,BANKA,RAM NARAYAN MANDAL,Bharatiya Janata Party,95588,SANJAY KUMAR,Communist Party of India,71824,23764
S04167,BIHAR,SURYAGARHA,RAMANAND MANDAL,Janata Dal (United),101968,PREMSAGAR CHOUDHARY,Rashtriya Janata Dal,78107,23861
