constituency_code,candidate,party,constituency,state,votes
S0319,RANJIT BASUMATARY,United Peoples Party Liberal,SIDLI CHIRANG,ASSAM,62674
S0343,PRAMOD BORO,United Peoples Party Liberal,TAMULPUR,ASSAM,62565
S0352,SRI BUBUL DAS,Indian National Congress,JAGIROAD,ASSAM,61545
S0390,DHRUBA GOGOI,Indian National Congress,DULIAJAN,ASSAM,61008
S0359,RAJEN GOHAIN,Assam Jatiya Parishad,BARHAMPUR,ASSAM,60986
S0366,RIPUN BORA,Indian National Congress,BARCHALLA,ASSAM,59933
S0355,MATIUR RAHMAN,All India United Democratic Front,DHING,ASSAM,59688
S0367,ALOK NATH,Raijor Dal,TEZPUR,ASSAM,59190
S0370,JAYANTA BORAH,Indian National Congress,BISWANATH,ASSAM,59092
S0339,ASHOK KUMAR SARMA,Indian National Congress,NALBARI,ASSAM,58510
S03103,Bitupan Saikia,Indian National Congress,GOLAGHAT,ASSAM,58453
S0369,SUNIL KUMAR CHHETRI,Indian National Congress,NADUAR,ASSAM,58209
S0389,LURINJYOTI GOGOI,Assam Jatiya Parishad,KHOWANG,ASSAM,57054
S03118,ABHIJIT PAUL,Indian National Congress,SILCHAR,ASSAM,56761
S03120,DHRUBAJYOTI PURKAYASTHA,Indian National Congress,DHOLAI,ASSAM,56172
S0395,AJOY KUMAR GOGOI,Indian National Congress,DEMOW,ASSAM,56153
S0357,JITEN GOUR,Independent,KALIABOR,ASSAM,56139
S0326,DILIP BARUAH,Assam Jatiya Parishad,BAJALI,ASSAM,55684
S03102,PRAN  KURMI,Indian National Congress,TITABOR,ASSAM,55428
S0381,JAGADISH BHUYAN,Assam Jatiya Parishad,SADIYA,ASSAM,55338
S0332,SATYABRAT KALITA,Indian National Congress,KAMALPUR,ASSAM,55006
S0333,MIRA BORTHAKUR GOSWAMI,Indian National Congress,DISPUR,ASSAM,53670
S0394,JNYANDIP MOHAN,Indian National Congress,MAHMORA,ASSAM,53509
S0376,GHANA BURAGOHAIN,Indian National Congress,LAKHIMPUR,ASSAM,53506
S03104,SAGORIKA BORA,Indian National Congress,DERGAON,ASSAM,53096
S03101,GYANASHREE BORA,Raijor Dal,MARIANI,ASSAM,52792
S0315,KISHORE KUMAR BRAHMA,Indian National Congress,DUDHNAI,ASSAM,52716
S0312,SHEIKH SHAH ALAM,All India United Democratic Front,JALESHWAR,ASSAM,52486
S0354,BANI KANTA DAS,Assam Jatiya Parishad,MORIGAON,ASSAM,52453
S03108,RATON ENGTI,Indian National Congress,BOKAJAN,ASSAM,52385
S0313,MARKLINE MARAK,Indian National Congress,GOALPARA WEST,ASSAM,52299
S0316,PRADIP SARKAR,Indian National Congress,ABHAYAPURI,ASSAM,52228
S0360,DURLAV CHAMUA,Indian National Congress,NAGAON-BATADRABA,ASSAM,51974
S0323,ASHRAFUL HUSSAIN,All India United Democratic Front,CHENGA,ASSAM,51818
S0397,DEBABRATA SAIKIA,Indian National Congress,NAZIRA,ASSAM,51497
S0378,SRI SAILEN SONOWAL,Indian National Congress,DHEMAJI,ASSAM,51420
S03125,KARTIK SENA SINHA,Indian National Congress,PATHARKANDI,ASSAM,51337
S0314,ABDUR RAHIM ZIBRAN,Asom Gana Parishad,GOALPARA EAST,ASSAM,50944
S0393,UTPAL GOGOI,Indian National Congress,SONARI,ASSAM,50699
S0334,SHRI KISHOR KUMAR BARUAH,Indian National Congress,DIMORIA,ASSAM,50673
S03124,EKBAL HUSSAIN,Asom Gana Parishad,KARIMGANJ SOUTH,ASSAM,50625
S03112,HABBEY TERON,Bharatiya Janata Party,AMRI,ASSAM,50273
S03126,SURUCHI ROY,Indian National Congress,RAM KRISHNA NAGAR,ASSAM,50248
S038,NAZRUL HOQUE,All India United Democratic Front,DHUBRI,ASSAM,49701
S038,UTTAM PRASAD,Bharatiya Janata Party,DHUBRI,ASSAM,49654
S0346,DIPEN BORO,United Peoples Party Liberal,UDALGURI,ASSAM,49246
S0322,RAFIQUL ISLAM,All India United Democratic Front,MANDIA,ASSAM,49174
S0380,RAJU KUMAR MEDOK,Indian National Congress,JONAI,ASSAM,48816
S032,RABIRAM NARZARY,Bodoland Peoples Front,DOTMA,ASSAM,48775
S03115,AJIT SINGH,Indian National Congress,UDHARBOND,ASSAM,47867
S0328,RAMEN SINGH RABHA,Indian National Congress,BOKO-CHAYGAON,ASSAM,47559
S0318,GIRISH BARUAH,Indian National Congress,BONGAIGAON,ASSAM,47249
S0324,GAGAN CHANDRA HALOI,Independent,BARPETA,ASSAM,46684
S0385,SIBANATH CHETIA,Indian National Congress,MAKUM,ASSAM,46418
S03100,GAURAV GOGOI,Indian National Congress,JORHAT,ASSAM,46257
S031,SABHARAM BASUMATARY,Bodoland Peoples Front,GOSSAIGAON,ASSAM,44394
S0323,AFTADUR ALI KHAN,Independent,CHENGA,ASSAM,44021
S0372,SANKAR JYOTI KUTUM,Indian National Congress,GOHPUR,ASSAM,43860
S0398,DR. INDRANEEL PEGU,Indian National Congress,MAJULI,ASSAM,43024
S0341,ANJAN TALUKDAR,Raijor Dal,MANAS,ASSAM,42650
S0377,ANANDA NARAH,Indian National Congress,DHAKUAKHANA,ASSAM,42051
S0335,SANTANU BORA,Indian National Congress,NEW GUWAHATI,ASSAM,41968
S03110,J. I  KATHAR,Independent,DIPHU,ASSAM,41126
S03107,JIBAN CHUTIA,Assam Jatiya Parishad,SARUPATHAR,ASSAM,40261
S03122,ZAKIR HUSSAIN LASKAR,Asom Gana Parishad,ALGAPUR-KATLICHERRA,ASSAM,40213
S03124,AZIZ AHMED KHAN,All India Trinamool Congress,KARIMGANJ SOUTH,ASSAM,40016
S0391,BIPUL GOGOI,Indian National Congress,TINGKHONG,ASSAM,39886
S0342,RAKESH BRAHMA,United Peoples Party Liberal,BAKSA,ASSAM,39770
S0336,KUNKI CHOWDHURY,Assam Jatiya Parishad,GUWAHATI CENTRAL,ASSAM,39376
S034,SAPALI MARAK,Indian National Congress,BAOKHUNGRI,ASSAM,38967
S0387,PRANJAL GHATOWAR,Indian National Congress,CHABUA-LAHOWAL,ASSAM,38288
S0320,KAMAL SING NARZARY,United Peoples Party Liberal,BIJNI,ASSAM,37781
S0337,BIDISHA NEOG,Indian National Congress,JALUKBARI,ASSAM,37717
S0368,KARTIK CHANDRA KURMI,Indian National Congress,RANGAPARA,ASSAM,37707
S0314,ABDUR RASHID MANDAL,Raijor Dal,GOALPARA EAST,ASSAM,37520
S0358,ANIL SAIKIA,Bharatiya Janata Party,SAMAGURI,ASSAM,36902
S0386,DEVID PHUKAN,Indian National Congress,TINSUKIA,ASSAM,36687
S033,LAWRENCE ISLARY,United Peoples Party Liberal,KOKRAJHAR,ASSAM,35183
S0379,DULAL CHANDRA BORUAH,Raijor Dal,SISSIBARGAON,ASSAM,35165
S0388,MAINAK PATRA,Assam Jatiya Parishad,DIBRUGARH,ASSAM,34760
S037,MEHETABUL HAQUE,Asom Gana Parishad,GAURIPUR,ASSAM,33142
S03106,ROSELINA TIRKEY,Indian National Congress,KHUMTAI,ASSAM,32715
S0318,CHAKRADHAR DAS,Independent,BONGAIGAON,ASSAM,32093
S0332,ANKUR DAS,Independent,KAMALPUR,ASSAM,31940
S0383,RAHUL CHETRY,Raijor Dal,MARGHERITA,ASSAM,31032
S0382,DURGA BHUMIJ,Indian National Congress,DOOMDOOMA,ASSAM,30627
S0357,PRADIP KUMAR BARUAH,Raijor Dal,KALIABOR,ASSAM,30375
S0348,ROHIT PARIGA,Indian National Congress,TANGLA,ASSAM,29708
S0345,NERSWN BORO,United Peoples Party Liberal,BHERGAON,ASSAM,29308
S03122,SUZAM UDDIN LASKAR S/O LT. TAZAMUL ALI LASKAR,Independent,ALGAPUR-KATLICHERRA,ASSAM,29230
S0347,PRITI REKHA BARLA,Jharkhand Mukti Morcha,MAZBAT,ASSAM,29172
S0344,PABITRA KUMAR BARO,United Peoples Party Liberal,GORESWAR,ASSAM,28859
S03113,DANIEL LANGTHASA,National Peoples Party,HAFLONG,ASSAM,28368
S0348,JAYANTA KUMAR RABHA,United Peoples Party Liberal,TANGLA,ASSAM,28357
S0344,BAPURAM BORO,Communist Party of India (Marxist),GORESWAR,ASSAM,28273
S03109,SANJEEB TERON,Indian National Congress,HOWRAGHAT,ASSAM,28123
S0358,ABDUL AZIZ,All India United Democratic Front,SAMAGURI,ASSAM,27904
S0341,JWNGSRANG BRAHMA,United Peoples Party Liberal,MANAS,ASSAM,27674
S03102,BHASKAR JYOTI BARUAH,Independent,TITABOR,ASSAM,27203
S0379,NANDIGIRI BHUYAN,Independent,SISSIBARGAON,ASSAM,26890
S0320,KHALILUR RAHMAN,Independent,BIJNI,ASSAM,26758
S0317,SHAHIDUL HOQUE,Asom Gana Parishad,SRIJANGRAM,ASSAM,26671
S0371,GYANENDRA SARKAR,Communist Party of India (Marxist-Leninist) (Liberation),BEHALI,ASSAM,26521
S03112,BIKRAM HANSE,Independent,AMRI,ASSAM,26363
S03114,M. SANTI KUMAR SINGHA,Indian National Congress,LAKHIPUR,ASSAM,25901
S0392,PRANATEE PHUKAN,Indian National Congress,NAHARKATIA,ASSAM,25486
S0384,DULAL MORAN,Raijor Dal,DIGBOI,ASSAM,24617
S032,RAJU KUMAR NARZARY,United Peoples Party Liberal,DOTMA,ASSAM,24492
S03113,NANDITA GORLOSA,Indian National Congress,HAFLONG,ASSAM,24084
S0347,NARAYAN ADHIKARI,Indian National Congress,MAZBAT,ASSAM,23558
S03111,AUGUSTINE ENGHEE,Indian National Congress,RONGKHANG,ASSAM,23005
S0333,JAYANTA KUMAR DAS,Independent,DISPUR,ASSAM,22802
S0345,PRABHAT DAS PANIKA,Jharkhand Mukti Morcha,BHERGAON,ASSAM,21997
S031,PHEDRICSON HANSDAK,Jharkhand Mukti Morcha,GOSSAIGAON,ASSAM,21417
S034,PRATIBHA BRAHMA,United Peoples Party Liberal,BAOKHUNGRI,ASSAM,21245
S0362,SHAHAB UDDIN MAJUMDAR,Asom Gana Parishad,BINNAKANDI,ASSAM,20955
S03105,HARI PRASAD SAIKIA,Raijor Dal,BOKAKHAT,ASSAM,20450
S0368,MATHEW TOPNO,Jharkhand Mukti Morcha,RANGAPARA,ASSAM,20067
S0384,BHARAT NAYAK,Jharkhand Mukti Morcha,DIGBOI,ASSAM,19638
S0355,MUKUT KUMAR DEBNATH,Bharatiya Janata Party,DHING,ASSAM,19572
S0383,GARNEL MINZE,Jharkhand Mukti Morcha,MARGHERITA,ASSAM,19228
S0319,MATILAL NARZARY,Indian National Congress,SIDLI CHIRANG,ASSAM,18975
S0351,AZIZUR RAHMAN,Raijor Dal,DALGAON,ASSAM,17613
S031,ANINDA BASUMATARY,United Peoples Party Liberal,GOSSAIGAON,ASSAM,17431
S03106,AMIT NAG,Jharkhand Mukti Morcha,KHUMTAI,ASSAM,17090
S0351,KRISHNA SAHA,Bharatiya Janata Party,DALGAON,ASSAM,17079
S0347,RABINDRA BASUMATARY,United Peoples Party Liberal,MAZBAT,ASSAM,16903
S0343,RAFEL DAIMARY,Indian National Congress,TAMULPUR,ASSAM,16777
S0353,MD KHALILUR RAHMAN,Asom Gana Parishad,LAHARIGHAT,ASSAM,16342
S032,BIRKHANG BORO,Indian National Congress,DOTMA,ASSAM,15410
S031,JOSEPH HASDA,Indian National Congress,GOSSAIGAON,ASSAM,15128
S0356,JAKIR HUSSAIN FARAJI,Asom Gana Parishad,RUPAHIHAT,ASSAM,14946
S0396,PRODIP HAZARIKA,Asom Gana Parishad,SIBSAGAR,ASSAM,14757
S03109,SARKIRI RONGPHAR,Independent,HOWRAGHAT,ASSAM,14659
S0393,BALDEV TELI,Jharkhand Mukti Morcha,SONARI,ASSAM,14579
S03105,PRANAB DOLEY,Independent,BOKAKHAT,ASSAM,14250
S0391,MAHABIR BASKE,Jharkhand Mukti Morcha,TINGKHONG,ASSAM,14205
S0371,AJOY KUMAR SINGHA,Independent,BEHALI,ASSAM,13294
S0387,BHUPEN SINGH MURARI,Jharkhand Mukti Morcha,CHABUA-LAHOWAL,ASSAM,13265
S03105,JITEN GOGOI,Independent,BOKAKHAT,ASSAM,13231
S034,RAJIB BRAHMA,Independent,BAOKHUNGRI,ASSAM,13037
S0312,ABU SHA SHADI HOSSAIN,Asom Gana Parishad,JALESHWAR,ASSAM,12954
S0370,TEHARU GOUR,Jharkhand Mukti Morcha,BISWANATH,ASSAM,12501
S037,ABUL MIAH,Raijor Dal,GAURIPUR,ASSAM,12467
S03107,SAHIL MUNDA,Jharkhand Mukti Morcha,SARUPATHAR,ASSAM,11852
S0374,PAWAN SAUTAL,Jharkhand Mukti Morcha,RONGONADI,ASSAM,11832
S0388,KAMAL HAZARIKA,Vikas India Party,DIBRUGARH,ASSAM,11699
S0342,JAGADISH MADAHI,Indian National Congress,BAKSA,ASSAM,10623
S0314,ABUL KALAM HUSSAIN,Independent,GOALPARA EAST,ASSAM,10196
S0311,ABDUL SALAM SHAH,All India United Democratic Front,MANKACHAR,ASSAM,9974
S0322,BADAL CHANDRA ARJYA,Bharatiya Janata Party,MANDIA,ASSAM,9801
S0327,MD. NURUL ISLAM,Asom Gana Parishad,CHAMARIA,ASSAM,9570
