CANDIDATE,PARTY,CONSTITUENCY,STATE,VOTE_SHARE
"S JAGATHRATCHAKAN","Dravida Munnetra Kazhagam",ARAKKONAM,"TAMIL NADU",48.3937
"TARIQ ANWAR","Indian National Congress",KATIHAR,BIHAR,48.4054
"N K PREMACHANDRAN","Revolutionary Socialist Party",KOLLAM,KERALA,48.4473
"R.K. CHAUDHARY","Samajwadi Party",MOHANLALGANJ,"UTTAR PRADESH",48.4858
"SANJAY UTTAMRAO DESHMUKH","Shiv Sena (Uddhav Balasaheb Thackrey)","YAVATMAL- WASHIM",MAHARASHTRA,48.5347
"ABHIJIT GANGOPADHYAY","Bharatiya Janata Party",TAMLUK,"WEST BENGAL",48.5370
"ANITA SUBHADARSHINI","Bharatiya Janata Party",ASKA,ODISHA,48.5528
"DR JAYANTA KUMAR ROY","Bharatiya Janata Party",JALPAIGURI,"WEST BENGAL",48.5665
"JAGADISH CHANDRA BARMA BASUNIA","All India Trinamool Congress",COOCHBEHAR,"WEST BENGAL",48.5737
"JAI PARKASH (J P) S/O HARIKESH","Indian National Congress",HISAR,HARYANA,48.5833
"AWADHESH PRASAD","Samajwadi Party",FAIZABAD,"UTTAR PRADESH",48.5937
"RAM PRASAD CHAUDHARY","Samajwadi Party",BASTI,"UTTAR PRADESH",48.6674
"SANJAY DINA PATIL","Shiv Sena (Uddhav Balasaheb Thackrey)","MUMBAI NORTH EAST",MAHARASHTRA,48.6726
"AMAR SHARADRAO KALE","Nationalist Congress Party – Sharadchandra Pawar",WARDHA,MAHARASHTRA,48.6849
"KAMLESH JANGDE","Bharatiya Janata Party",JANJGIR-CHAMPA,CHHATTISGARH,48.7128
"RAMPRIT MANDAL","Janata Dal  (United)",JHANJHARPUR,BIHAR,48.7348
"K. SUDHAKARAN","Indian National Congress",KANNUR,KERALA,48.7401
"UJJWAL RAMAN SINGH","Indian National Congress",ALLAHABAD,"UTTAR PRADESH",48.8010
"SHRIRANG APPA CHANDU BARNE","Shiv Sena",MAVAL,MAHARASHTRA,48.8116
"SATPAL BRAHAMCHARI","Indian National Congress",SONIPAT,HARYANA,48.8176
"MURASOLI S","Dravida Munnetra Kazhagam",THANJAVUR,"TAMIL NADU",48.8230
"GENIBEN NAGAJI THAKOR","Indian National Congress",BANASKANTHA,GUJARAT,48.8321
"RAM SHIROMANI VERMA","Samajwadi Party",SHRAWASTI,"UTTAR PRADESH",48.8334
"PANKAJ CHAUDHARY","Bharatiya Janata Party",MAHARAJGANJ,"UTTAR PRADESH",48.8504
"MOHITE-PATIL DHAIRYASHEEL RAJSINH","Nationalist Congress Party – Sharadchandra Pawar",MADHA,MAHARASHTRA,48.8616
"KAUSHALENDRA KUMAR","Janata Dal  (United)",NALANDA,BIHAR,48.8842
"IQRA CHOUDHARY","Samajwadi Party",KAIRANA,"UTTAR PRADESH",48.8989
"VISHAL (DADA) PRAKASHBAPU PATIL",Independent,SANGLI,MAHARASHTRA,48.9129
"MANOJ TIGGA","Bharatiya Janata Party",ALIPURDUARS,"WEST BENGAL",48.9179
"FAGGAN SINGH KULASTE","Bharatiya Janata Party",MANDLA,"MADHYA PRADESH",48.9294
"GAIKWAD VARSHA EKNATH","Indian National Congress","MUMBAI NORTH CENTRAL",MAHARASHTRA,48.9308
"Shyamkumar (Babalu) Daulat Barve","Indian National Congress",RAMTEK,MAHARASHTRA,48.9436
"RAO RAJENDRA SINGH","Bharatiya Janata Party","JAIPUR RURAL",RAJASTHAN,48.9580
"AMARSING TISSO","Bharatiya Janata Party",DIPHU,ASSAM,49.0051
"CHINTAMANI MAHARAJ","Bharatiya Janata Party",SURGUJA,CHHATTISGARH,49.0081
"AKSHAYA YADAV","Samajwadi Party",FIROZABAD,"UTTAR PRADESH",49.0417
"NARAYAN TATU RANE","Bharatiya Janata Party","RATNAGIRI- SINDHUDURG",MAHARASHTRA,49.0695
"ANAND KUMAR","Bharatiya Janata Party",BAHARAICH,"UTTAR PRADESH",49.1027
"DR. KALGE SHIVAJI BANDAPPA","Indian National Congress",LATUR,MAHARASHTRA,49.1511
"DR. PRADEEP KUMAR PANIGRAHY","Bharatiya Janata Party",BERHAMPUR,ODISHA,49.1985
"ABHAY KUMAR SINHA","Rashtriya Janata Dal",AURANGABAD,BIHAR,49.2205
"SANTOSH PANDEY","Bharatiya Janata Party",RAJNANDGAON,CHHATTISGARH,49.2512
"PRASUN BANERJEE","All India Trinamool Congress",HOWRAH,"WEST BENGAL",49.2605
"MANNA LAL RAWAT","Bharatiya Janata Party",UDAIPUR,RAJASTHAN,49.2724
"VARUN CHAUDHRY","Indian National Congress",AMBALA,HARYANA,49.2794
"MAGUNTA SREENIVASULU REDDY","Telugu Desam",ONGOLE,"ANDHRA PRADESH",49.3522
"BUNTY VIVEK SAHU","Bharatiya Janata Party",CHHINDWARA,"MADHYA PRADESH",49.4118
"BRIJENDRA SINGH OLA","Indian National Congress",JHUNJHUNU,RAJASTHAN,49.4374
"MALA ROY","All India Trinamool Congress","KOLKATA DAKSHIN","WEST BENGAL",49.4801
"DHARMENDRA PRADHAN","Bharatiya Janata Party",SAMBALPUR,ODISHA,49.4810
"BASTIPATI NAGARAJU PANCHALINGALA","Telugu Desam",KURNOOLU,"ANDHRA PRADESH",49.5134
"NITYANAND RAI","Bharatiya Janata Party",UJIARPUR,BIHAR,49.5136
"NISHIKANT DUBEY","Bharatiya Janata Party",GODDA,JHARKHAND,49.5736
"DABHI  BHARATSINHJI  SHANKARJI","Bharatiya Janata Party",PATAN,GUJARAT,49.6132
"SHAFI PARAMBIL","Indian National Congress",VADAKARA,KERALA,49.6486
"SHREYAS. M. PATEL","Indian National Congress",HASSAN,KARNATAKA,49.6668
"RUCHI VIRA","Samajwadi Party",MORADABAD,"UTTAR PRADESH",49.6704
"ANIL YESHWANT DESAI","Shiv Sena (Uddhav Balasaheb Thackrey)","MUMBAI SOUTH CENTRAL",MAHARASHTRA,49.7327
MOHIBBULLAH,"Samajwadi Party",RAMPUR,"UTTAR PRADESH",49.7380
"DHARAMBIR SINGH","Bharatiya Janata Party",BHIWANI-MAHENDRAGARH,HARYANA,49.7437
"KIRTIVARDHAN SINGH","Bharatiya Janata Party",GONDA,"UTTAR PRADESH",49.7708
RADHAKRISHNA,"Indian National Congress",GULBARGA,KARNATAKA,49.7774
