constituency_code,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,vote_difference
S22208,TIRUCHULI,THANGAM THENARASU,Dravida Munnetra Kazhagam,75085,SAMAYAN.S,Tamilaga Vettri Kazhagam,61600,13485
S22176,PATTUKKOTTAI,ANNADURAI K,Dravida Munnetra Kazhagam,65963,MATHAN C,Tamilaga Vettri Kazhagam,52209,13754
S22226,PALAYAMKOTTAI,M.ABDUL WAHAB,Dravida Munnetra Kazhagam,79744,MARIA JOHN,Tamilaga Vettri Kazhagam,65939,13805
S2289,SALEM,SIVAKUMAR. K,Tamilaga Vettri Kazhagam,85710,RAJENDRAN. R,Dravida Munnetra Kazhagam,71676,14034
S22170,THIRUVIDAIMARUDUR,GOVI.CHEZHIAAN,Dravida Munnetra Kazhagam,79951,S.PRABAKARAN,Tamilaga Vettri Kazhagam,65835,14116
S2236,UTHIRAMERUR,MUNIRATHINAM.J,Tamilaga Vettri Kazhagam,84917,SUNDAR.K,Dravida Munnetra Kazhagam,70694,14223
S2217,ROYAPURAM,K.V. VIJAY DAMU,Tamilaga Vettri Kazhagam,59091,DR. A. SUBAIR KHAN,Dravida Munnetra Kazhagam,44842,14249
S22147,PERAMBALUR,SIVAKUMAR. K,Tamilaga Vettri Kazhagam,90882,DR. JAYALAKSHMI. S.T,Dravida Munnetra Kazhagam,76489,14393
S2281,GANGAVALLI,NALLATHAMBI. A,All India Anna Dravida Munnetra Kazhagam,73167,CHINNADURAI. K,Dravida Munnetra Kazhagam,58763,14404
S2292,RASIPURAM,LOGESH TAMILSELVAN D,Tamilaga Vettri Kazhagam,74808,PREMKUMAR S D,Bharatiya Janata Party,60297,14511
S2284,OMALUR,MANI. R,All India Anna Dravida Munnetra Kazhagam,112246,ADHIYAMAAN. R.V,Tamilaga Vettri Kazhagam,97707,14539
S22119,THONDAMUTHUR,S.P.VELUMANI,All India Anna Dravida Munnetra Kazhagam,93316,SATHISH RAJU (ALIAS) K.P.R. SATHISH,Tamilaga Vettri Kazhagam,78591,14725
S22186,SIVAGANGA,KULANTHAI RANI A,Tamilaga Vettri Kazhagam,73737,SENTHILNATHAN PR,All India Anna Dravida Munnetra Kazhagam,58656,15081
