candidate,party,constituency_count
JEYAMURUGAN.M.P,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1
JEYANTHI,Independent,1
JEYARAJ.P V S,Independent,1
J. HASSAIN,Independent,1
JINNAH JAKEER HUSSAIN,Independent,1
J.JENIFERJANET,Bahujan Samaj Party,1
J. JOHN EBENEZER,Dravida Munnetra Kazhagam,1
J.KAMATCHI,Tamilaga Vettri Kazhagam,1
J KARTHI,Vishwa Tamil Kazhagam,1
J.KESAVARAJAH,Independent,1
J.L.ESWARAPPAN,Dravida Munnetra Kazhagam,1
J.MADHAVAN,Independent,1
J M NIRAIMOZHI,Independent,1
J. MOHAN,Independent,1
J.MURALI KRISHNAN,Independent,1
J. MURUGAN,Tamilaga Vettri Kazhagam,1
J.MUTHU BAVA,Independent,1
J NAGARAJ,Independent,1
J. NITHYA,Independent,1
JOHN BASHA. A,Tamizhaga Vaazhvurimai Katchi,1
JOHN CHRISTOPHER T,Rashtriya Janata Dal,1
JOSELAL L.V,Independent,1
JOSEPHIN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
JOSEPH. L,Samaniya Makkal Nala Katchi,1
JOTHIBASU K,Independent,1
JOTHILAKSHMI. R.S,Vishwa Tamil Kazhagam,1
JOTHI.M,Independent,1
JOTHIMURUGAN.V,Bahujan Samaj Party,1
JOTHI. O,Dravida Munnetra Kazhagam,1
JOTHIRAJ G M,Independent,1
JOTHIVEL. A,Independent,1
J. PANDI,Bharatha Makkal Katchi,1
J.PRADHAP,Independent,1
J. PRAVEENKUMAR,Independent,1
J. RAMESH,Bahujan Samaj Party,1
J. ROBERT CHRISTY,Independent,1
J.SANTHOSH KUMAR,Independent,1
J.SARAVANAKUMAR,Independent,1
J. SEBASTIN,Socialist Unity Centre Of India (COMMUNIST),1
J. SELVAKUMAR,Independent,1
J SHANMUGAPRIYAN,Independent,1
J.SHOBA,Naam Tamilar Katchi,1
J. SURIYAKUMAR,Independent,1
J. SURIYA MUTHU,Independent,1
JUSTIN. M,Independent,1
JUSTIN. T,Indian Christian Front,1
J.V.DURAI,All India Youth Development Party,1
J. VENKATESAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
J.VIJAYAN,Independent,1
KADAMBUR RAJU.C,All India Anna Dravida Munnetra Kazhagam,1
KADARKARAIRAJ. A,Dravida Munnetra Kazhagam,1
KAJA MAIDEEN,Independent,1
K. AJAY KUMAR,Independent,1
KALAIARASU.S,Naam Tamilar Katchi,1
KALAIMANI. V,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
KALAIRAJ. K,Independent,1
KALAISELVI.R,Ahila India Dhayaga Makkal Munnetra Katchi,1
KALAIVANAN POONDI  K,Dravida Munnetra Kazhagam,1
KALAIVANI.S,Independent,1
KALAIYENTHIRI. R,Naam Tamilar Katchi,1
KALAMANI JAGANATHAN,Naam Tamilar Katchi,1
KALANCHIYAM.MU,Naam Tamilar Katchi,1
KALA PETHACHI,Independent,1
KALASTHIRI S,All India Uzhavargal Uzhaippalargal Katchi,1
KALASTHIRI. S,All India Uzhavargal Uzhaippalargal Katchi,1
KALEESWARAN M,Independent,1
KALIDASS. R,Independent,1
KALIMUTHU. A,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
KALIMUTHU. K,All India Forward Bloc,1
KALIMUTHU. P,Independent,1
KALIMUTHU. R,Independent,1
KALIMUTHU S.,Independent,1
KALIMUTHU.S,Independent,1
KALIMUTHU. V,Samaniya Makkal Nala Katchi,1
KALIRAJ. M,Independent,1
KALIYAPPAN. A,Independent,1
KAMALAKANNAN.K,Independent,1
KAMALA VEL SELVAN. P,Bahujan Samaj Party,1
KAMALI.S,Tamilaga Vettri Kazhagam,1
KAMARAJ.A,Independent,1
KAMARAJ. G,Independent,1
KAMARAJ.K,Samaniya Makkal Nala Katchi,1
KAMARAJ. R,All India Anna Dravida Munnetra Kazhagam,1
KAMARAJ. S,Amma Makkal Munnettra Kazagam,1
KAMARAJ.S,Bahujan Samaj Party,1
KAMATCHI S,Independent,1
KANAGARAJ. P,Independent,1
KANAGARAJ. S,Independent,1
KANAGARAJ.T,Independent,1
KANAKARAJ K,Independent,1
K.ANAND,Independent,1
KANCHANA. R,Tamizhaga Murpokku Makkal Katchi,1
KANDASAMY,Tamilaga Vettri Kazhagam,1
KANDASAMY.A.,Independent,1
KANDASAMY. P,Independent,1
KANDASAMY.R.,Independent,1
KANDASAMY.V.,Independent,1
KANDHASAMY. R (ALIAS) BABU,Independent,1
KANGATHARAN .P,Independent,1
KAN ILANGO,Independent,1
KANIMOZHI.K,Independent,1
KANIMOZHI SANTHOSH,Tamilaga Vettri Kazhagam,1
KANIPANDI M,Puthiya Tamilagam,1
K. ANNADURAI,Independent,1
KANNAIYAN. T,Communist Party of India (Marxist-Leninist) (Liberation),1
K. ANNAMALAI,Independent,1
KANNAN. G.,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
KANNAN.G,Ezhuchi Tamilargal Munnetra Kazhagam,1
KANNAN K.,Independent,1
KANNAN. K,Independent,1
KANNAN. K.,Tamilar Makkal Katchi,1
KANNAN KA.SO.KA.,Dravida Munnetra Kazhagam,1
KANNAN M,Independent,1
KANNAN. P,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1
KANNAN. R,Independent,1
KANNAN .S,Independent,1
KANNAN S,Naam Tamilar Katchi,1
KANNAN. S,Independent,1
KANNAN.S,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
KANNIYAPPAN. S,Independent,1
KANTHAN A,Tamizhaga Vaazhvurimai Katchi,1
KANTHASAMY.K.,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,1
KAREEM BASHA. A,All India Majlis-E-Inquilab-E-Millat,1
KARIKALAN B,Naam Tamilar Katchi,1
KARIKALAPANDIYAN.A,Naam Tamilar Katchi,1
KARMEGAM. R,Independent,1
KARMEGAN.M,Naam Tamilar Katchi,1
KARTHE.M,Pattali Makkal Katchi,1
KARTHI,Independent,1
KARTHICK. A,Samaniya Makkal Nala Katchi,1
KARTHICK.A,Independent,1
KARTHICK NARAYANAN S.,Independent,1
KARTHICK P,Independent,1
KARTHICK.R,Independent,1
KARTHICK.S,Independent,1
KARTHICK. T,Naam Tamilar Katchi,1
KARTHICK.V,Independent,1
KARTHI G,Independent,1
KARTHIGAI PANDI,Independent,1
KARTHIK,Independent,1
KARTHIK.A,Tamilaga Vettri Kazhagam,1
KARTHIKADEVI. K,Independent,1
KARTHIKA. M,Naam Tamilar Katchi,1
KARTHIKA PRAKASH,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
KARTHIKDHANDAPANI,Dravida Munnetra Kazhagam,1
KARTHIKEYAN,Independent,1
KARTHIKEYAN A,Independent,1
KARTHIKEYAN.C.M,Independent,1
KARTHIKEYAN G,Independent,1
KARTHIKEYAN K,Dravida Munnetra Kazhagam,1
KARTHIKEYAN.M,Independent,1
KARTHIKEYAN. N,Independent,1
KARTHIKEYAN. P,Tamilaga Vettri Kazhagam,1
KARTHIKEYAN.R,Independent,1
KARTHIKEYAN.R-POOLUVAPATTI,Independent,1
KARTHIKEYAN.R-THONDAMUTHUR,Independent,1
KARTHIKEYAN S,Tamilaga Vettri Kazhagam,1
KARTHIKEYAN.S,Independent,1
KARTHIKEYAN V,Independent,1
KARTHIK KUMAR. K,Tamilaga Vettri Kazhagam,1
KARTHIK M,Independent,1
KARTHIK. M,Independent,1
KARTHIK MOHAN,Dravida Munnetra Kazhagam,1
KARTHIK. N,Independent,1
KARTHIKPERUMAL. R,Independent,1
KARTHIK R,Independent,1
KARTHIK.R,Naam Tamilar Katchi,1
KARTHIK VANI. B,Independent,1
KARTHI.M,Independent,1
KARTHI. R,Independent,1
K.ARUMUGAM,Independent,1
KARUNAAS S,Dravida Munnetra Kazhagam,1
KARUNAMOORTHY. S,Independent,1
KARUNANITHI.K,Dravida Munnetra Kazhagam,1
K ARUNKUMAR,Independent,1
KARUPPAIAH.G,Independent,1
KARUPPAIAH.M.V,Tamilaga Vettri Kazhagam,1
KARUPPAIAH.S,Independent,1
KARUPPAIYA,Independent,1
KARUPPAIYA. R,Naam Tamilar Katchi,1
KARUPPANAN. K.C,All India Anna Dravida Munnetra Kazhagam,1
KARUPPIAH. K,Republican Party of India (Athawale),1
KARUPPU MURUGANANTHAM,Bharatiya Janata Party,1
KARUPPUSAMI.V,Independent,1
KARUTHAMMAL. S,Naadaalum Makkal Katchi,1
KARVANNAN K,Independent,1
K.ASHA,Puthiya Tamilagam,1
KASI. C,Dravida Munnetra Kazhagam,1
KASIRAMAN. K,Naam Tamilar Katchi,1
KATHARBATCHA MUTHURAMALINGAM,Dravida Munnetra Kazhagam,1
KATHIRAVAN. A.C,Independent,1
KATHIRAVAN .M,Independent,1
KATHIRAVAN. P,Independent,1
KATHIRAVAN. R,Independent,1
KATHIRAVAN S,New Generation Peoples Party,1
KATHIRAVAN. S,Dravida Munnetra Kazhagam,1
KATHIRESAN. M,Independent,1
KATHIRVEL. K,Independent,1
KAVIARASAN. T.T,Tamizhaga Vaazhvurimai Katchi,1
KAVIBHARATHI.K,Bahujan Samaj Party,1
KAVIKUIL V,Independent,1
KAVINKUMAR. S,Naam Tamilar Katchi,1
KAVITHA C,Independent,1
KAVITHADHANDAPANI,Dravida Munnetra Kazhagam,1
KAVITHA. M.P,Independent,1
KAVITHA. R,Puthiya Tamilagam,1
KAVITHA RAJENDRAN G.,Tamilaga Vettri Kazhagam,1
KAVITHA RENGANATHAN,Naam Tamilar Katchi,1
KAVITHA SRIKANTH,Bharatiya Janata Party,1
KAVITHA T,Independent,1
KAVIYARASAN.SUBIRAMANI,Independent,1
KAVIYARASU. T,Independent,1
K. BALAKRISHNAN,Independent,1
K. BALU,Pattali Makkal Katchi,1
K BHARATHIDHASAN,Tamilaga Vettri Kazhagam,1
K.BHUVANESWARI,Naam Tamilar Katchi,1
K.B.PRADAP,Desiya Murpokku Dravida Kazhagam,1
K. CHANDRA SEKAR,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1
K. DEENU,Naam Tamilar Katchi,1
K.DHANABAL,Independent,1
K. DHANAGOPAL,Independent,1
K. DHARMARAJ,Independent,1
K.DHAVASIAPPAN,Tamilaga Makkal Nala Katchi,1
K.DHIVYA,Rashtriya Samaj Dal (R),1
K. DINESH KUMAR,Independent,1
K DURAISAMY,Ganasangam Party of India,1
KEERTHANA. M,Naam Tamilar Katchi,1
KEERTHANA S,Tamilaga Vettri Kazhagam,1
KEERTHIGA. K,Independent,1
KEERTHIVASAN. R,Naam Tamilar Katchi,1
K. ELUMALAI,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1
K E MANOHAR,Independent,1
KERTHIVARUNNAN .R,Independent,1
KESAVAMURTHI. N,Independent,1
K. GANAPATHY,Independent,1
K.GANGAI AMARAN,Independent,1
KHAJA HUSSAIN AHAMED. A,Naam Tamilar Katchi,1
K.HAKKIM,Independent,1
KIDAR SAMSDEEN N.A.,Tamizhaga Vaazhvurimai Katchi,1
K. IMMACULATE MARY,Samaniya Makkal Nala Katchi,1
KINGSLY GERALD. A,Tamilaga Vettri Kazhagam,1
KINGSLY ISACC JEBARAJ.S,Independent,1
KIRANYA. S,Independent,1
KIRUBANANTH. S,Independent,1
KIRUTHIGA THANGAPANDI,Dravida Munnetra Kazhagam,1
K. JAYAPRAKASH,Puthiya Tamilagam,1
K.JEYA,Independent,1
K.J. SIVAKUMAR,Independent,1
K. KAILASAKUMAR,Independent,1
K. KALAIYARASAN,Party for the Rights of Other backward Classes,1
K KALEESWARAN,Tamizhaga Vaazhvurimai Katchi,1
K. KATHIRESAN,Independent,1
K.KUMAR BABU,Independent,1
K.LENIN,Tamizhaga Vaazhvurimai Katchi,1
K. MALESWARAN,Independent,1
K MANIKANDAN,Makkal Sananayaga Kudiyarasu Katchi,1
K.MANIKANDAN,Independent,1
K.MANIKANDAPRABU,Independent,1
K.MANIKANNAN,Samaniya Makkal Nala Katchi,1
K.MANOHARAN,Independent,1
K. MASILAMANI,Communist Party of India (Marxist-Leninist) (Liberation),1
K.M. DEVAN,Makkal Murasu Katchi,1
K.MEYYAR,Communist Party of India (Marxist-Leninist) (Liberation),1
K.M.KALIAPPAN,Independent,1
K.M. SHARIFF,Tamilaga Vettri Kazhagam,1
K.MUNISAMY,Independent,1
K.MUNIYAPPAN,ALL PENSIONERS PARTY,1
K.MUNIYAPPAN,Bahujan Samaj Party,1
K. MURALI,Independent,1
K.MURUGAN,Independent,1
K. MURUGESAN,Independent,1
K.MURUGESAN,Independent,1
K.MUTHU,Independent,1
K.M.VINAAYAGAM,Viro Ke Vir Indian Party,1
K. NAGARAJAN,Independent,1
K. NITHYANANDAN,Independent,1
K. NITHYANANDHAN,Dravida Munnetra Kazhagam,1
K.N.NEHRU,Dravida Munnetra Kazhagam,1
K.N. SEKAR,Pattali Makkal Katchi,1
KOIL RAJ. R,Naam Indiar Party,1
KOTTAIKUMAR,Naam Tamilar Katchi,1
KOTTEESWARAN. K,Tamizhaga Vaazhvurimai Katchi,1
KOWSALYA.V,Independent,1
K. PALANI,All India Anna Dravida Munnetra Kazhagam,1
K. PALANIVEL,Independent,1
K. PANNEER SELVAM,Independent,1
K. PAULRAJ,Puthiya Tamilagam,1
K.P.KANDAN,All India Anna Dravida Munnetra Kazhagam,1
K.P.PARAMASIVAM,All India Anna Dravida Munnetra Kazhagam,1
K. PRASATH,Independent,1
K. RAGHUL GANDHI,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
K.RAJAKUMAR,Independent,1
K. RAJAPANDIAN,Independent,1
K.RAJASEKAR,Puthiya Tamilagam,1
K. RAJENDRAN,Independent,1
K. RAJENDRAN,Puthiya Makkal Tamil Desam Katchi,1
K. RAJKUMAR,Naam Tamilar Katchi,1
K. RAMACHANDRAN,Independent,1
K RAMESH,Independent,1
K.RAMKUMAR,Tamilaga Vettri Kazhagam,1
K.RATHINASAMY,Bahujan Samaj Party,1
K. RAVIKUMAR,Independent,1
K. RENGAN,Puthiya Tamilagam,1
KRISH.MARIAPPAN,Thamizhaka Padaippalar Makkal Katchi,1
KRISHNAKANTH. E,Independent,1
KRISHNAKUMAR.A,Independent,1
KRISHNAKUMAR. K,Independent,1
KRISHNA KUMAR. S,Tamilaga Vettri Kazhagam,1
KRISHNAMOORTHI P,Tamizhaga Vaazhvurimai Katchi,1
KRISHNAMOORTHY C,Independent,1
KRISHNAMOORTHY D,Makkal Nala Kazhagam,1
KRISHNAMOORTHY. D,Tamizhaga Vaazhvurimai Katchi,1
KRISHNAMOORTHY.D,Independent,1
KRISHNAMOORTHY.K,Independent,1
KRISHNAMOORTHY.M,Independent,1
KRISHNAMOORTHY. P,Independent,1
KRISHNAMOORTHY V,Independent,1
KRISHNAMURTHY K,Independent,1
KRISHNAMURTHY. M,Independent,1
KRISHNAMURTHY. R,Independent,1
KRISHNAMURTHY. S,Independent,1
KRISHNAN. L.,Independent,1
KRISHNAN M,Independent,1
KRISHNASAMY.P,Independent,1
KRISHNASWAMY.A,Dravida Munnetra Kazhagam,1
K.R.JAYARAM,All India Anna Dravida Munnetra Kazhagam,1
K R M RADHAKRISHNAN,Bharatiya Janata Party,1
K R P PRABAKARAN,All India Anna Dravida Munnetra Kazhagam,1
K. SAKTHIVEL,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,1
K.SAKTHIVEL,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,1
K. SAKTHIVEL NATHAN,Independent,1
K. SAMPATH KUMAR,Independent,1
K.SARAVANAN,Pattali Makkal Katchi,1
K.SAROJA,Independent,1
K. SEKAR,Independent,1
K.SELVAM,Independent,1
K. SELVAPERUNTHAGAI,Indian National Congress,1
K.SELVARAJ,Dravida Munnetra Kazhagam,1
K. SENTHILKUMAR,Samaniya Makkal Nala Katchi,1
K. SENTHILKUMAR,Independent,1
K. SENTHILKUMAR,Naam Tamilar Katchi,1
K.SENTHIL MALLAR,Tamizhaga Vaazhvurimai Katchi,1
K.SETHURAMAN,Independent,1
K SHANMUGAVEL,Independent,1
K.SHEIKANWARDEEN,Independent,1
K.SINDU,Tamilaga Vettri Kazhagam,1
K.S. RAJAGOPAL,Independent,1
K. S. RAVICHANDRAN,Dravida Munnetra Kazhagam,1
K.S.SRI GIRI PRASATH,Tamilaga Vettri Kazhagam,1
K. SUBBURAJ,Independent,1
K. SUJITH,Independent,1
K.SURESH,Independent,1
K.THABITHAL,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
K. THANGAVEL,Puthiya Makkal Tamil Desam Katchi,1
K THAVARAJ,Tamizhaga Vaazhvurimai Katchi,1
K. UDHAYAKUMAR,Thamizhaka Padaippalar Makkal Katchi,1
KULANTHAI RANI A,Tamilaga Vettri Kazhagam,1
KUMARAGURU R,All India Anna Dravida Munnetra Kazhagam,1
KUMARAN. G.P,Bahujan Samaj Party,1
KUMARAN R,Tamizhaga Vaazhvurimai Katchi,1
KUMAR.A.P,Independent,1
KUMARAVEL,Independent,1
KUMARAVEL. P,Independent,1
KUMARAVEL. T,Thamizhaka Padaippalar Makkal Katchi,1
KUMARAVELU . M,Bahujan Samaj Party,1
KUMAR. D.J,Independent,1
KUMARESAN. L,Independent,1
KUMARESAN. M,Independent,1
KUMARESAN.M,Independent,1
KUMAR K,Independent,1
KUMAR. K,Independent,1
KUMAR. M,Independent,1
KUMAR. P,All India Anna Dravida Munnetra Kazhagam,1
KUMAR. P,Akila Inthiya Makkal Marumalarchi Kazhakam,1
KUMAR. P,Independent,1
KUMAR. R,Tamilaga Vettri Kazhagam,1
KUMARRATHINAM. M,Independent,1
KUMAR S.,Independent,1
KUMAR.S,Independent,1
KUMAR SRI SRI B,Independent,1
KUMAR. V.,Independent,1
KU PA KRISHNAN,Tamilaga Vettri Kazhagam,1
KUPPAN. K,All India Anna Dravida Munnetra Kazhagam,1
KUPPURAJ. K,Tamilar Makkal Katchi,1
KUTTAIAN,Independent,1
KUTTIMANI. S,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1
KUTTY (ALIAS) SUDHAKAR. A,Dravida Munnetra Kazhagam,1
K VADIVAZHAGAN BALAJI,Independent,1
K.VEERAMALAI,Independent,1
K.VELAYUDHAM,Independent,1
K. VELMURUGAN,Independent,1
K.VELMURUGAN,Bahujan Samaj Party,1
K.VELU,Independent,1
K.VENKADASWAMY,Independent,1
K. VENKATESAN,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1
K. VIJAYAN,Independent,1
K.VIMALA,Naam Indiar Party,1
K. VISHWANATHAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
K. VISVANATHAN,Independent,1
K.V.THAMILINIYAN,Naam Tamilar Katchi,1
K.V. VIJAY DAMU,Tamilaga Vettri Kazhagam,1
LAKSHMANAN,Naam Tamilar Katchi,1
LAKSHMANAN K,Independent,1
LAKSHMANAN R,Dravida Munnetra Kazhagam,1
LAKSHMANAN R,Independent,1
LAKSHMANAN. R,Independent,1
LAKSHMANAN.S,Tamilaga Vettri Kazhagam,1
LAKSHMI. A,Samata Party,1
LAKSHMI JANARTHANAN. J,Tamilaga Vettri Kazhagam,1
LAKSHMI. N,Independent,1
LAKSHMI SRINIVASAN,Naam Tamilar Katchi,1
LATHA A,Independent,1
LATHA BALU,Dravida Munnetra Kazhagam,1
LATHA. T,Communist Party of India (Marxist),1
L.BHARATHI,Independent,1
LEEMAROSE MARTIN,All India Anna Dravida Munnetra Kazhagam,1
L.E. JOTHIMANI,Viduthalai Chiruthaigal Katchi,1
LEKSHMANA SINGH. D,All India Anna Dravida Munnetra Kazhagam,1
L. HAKKIM,Independent,1
LINGESWARAN. M,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
L.JAMES REYNOLD,Bahujan Samaj Party,1
L KASINATHAN,Independent,1
L NARENDRAN,Independent,1
LOGANATHAN. M,Dravida Munnetra Kazhagam,1
LOGANATHAN. M,Independent,1
LOGANATHAN.V,Naam Tamilar Katchi,1
LOGESH TAMILSELVAN D,Tamilaga Vettri Kazhagam,1
LOGESHWARI S,Naam Tamilar Katchi,1
LOGIRAJAN.A,All India Anna Dravida Munnetra Kazhagam,1
LOKESHWARAN.R,Anti Corruption Dynamic Party,1
L.PRABAKARAN,Independent,1
L.SARAVANAN,Independent,1
LUKMANBABU.S,Independent,1
M.ABDUL WAHAB,Dravida Munnetra Kazhagam,1
MADASAMY,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
MADHAPPAN. P.,Independent,1
MADHAR BADHURUDEEN,Tamilaga Vettri Kazhagam,1
MADHAVAN.S.R,Tamilaga Vettri Kazhagam,1
MADHAVARAM V.MOORTHY,All India Anna Dravida Munnetra Kazhagam,1
MADHESWARI. R,Independent,1
MADHU. P.,Naadaalum Makkal Katchi,1
MADURAI VEERAN S,Tamizhaga Vaazhvurimai Katchi,1
MAGESHKUMAR.P,Pattali Makkal Katchi,1
MAGESH KUMAR.T,Independent,1
MAHABUB JOHN. K,Independent,1
MAHALAKSHMI,Puthiya Makkal Tamil Desam Katchi,1
MAHALAKSHMI. G,Independent,1
MAHALAKSHMI GOVARTHANAN,Dravida Munnetra Kazhagam,1
MAHALAKSHMI V,Naam Tamilar Katchi,1
MAHALINGAM.P,Communist Party of India,1
MAHALINGAM . T,Tamilaga Vettri Kazhagam,1
MAHALINGAM. V,Independent,1
M AHAMED ALI,Independent,1
MAHAMUNI. A,Independent,1
MAHARAJAN.A,Dravida Munnetra Kazhagam,1
MAHARAJAN. M,Puthiya Makkal Tamil Desam Katchi,1
MAHENDIRAN. K,Independent,1
MAHENDRA KUMAR. D,Bahujan Samaj Party,1
MAHENDRAN A.,Independent,1
MAHENDRAN. I,All India Anna Dravida Munnetra Kazhagam,1
MAHENDRAN K,All India Anna Dravida Munnetra Kazhagam,1
MAHENDRAN. M,Independent,1
MAHENDRAN P,Anaithinthiya Anna Dravida Makkal Seyal katchi,1
MAHESH KUMAR,Independent,1
MAHESHKUMAR. M,Independent,1
MAHESHKUMAR N,Independent,1
MAHESH.R,Dravida Munnetra Kazhagam,1
MAHESWARI.J,Independent,1
MAHESWARI. R,Independent,1
MAILVAGANAN. B,Independent,1
MALAI ALAGU.M,Independent,1
MALARMANNAN.M,Samaniya Makkal Nala Katchi,1
MALARVIZHI,Party for the Rights of Other backward Classes,1
MALARVIZHI. B,Tamilaga Vettri Kazhagam,1
MALARVIZHI. G,Indhu Dravida Makkal Katchi,1
MALATHI.A,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
MALATHI K,Independent,1
MALATHI K,Viduthalai Chiruthaigal Katchi,1
MALATHI.S,Tamizhaga Murpokku Makkal Katchi,1
M. ALEXANDAR,Naam Indiar Party,1
MALLIGA.M,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
MALLIKA. A,Independent,1
MALLI. S,Tamizhaga Vaazhvurimai Katchi,1
M. A. MUTHUKUMAR,Independent,1
M.ANANDAN,Independent,1
M. ANANTH,Independent,1
MANAVAI KANNAN. M,Communist Party of India (Marxist-Leninist) Red Star,1
MANAVALAN A,Anna MGR Dravida Makkal Kalgam,1
MANEESHANKAR. M.G.,Independent,1
MANGAMMAL,Tamilar Makkal Katchi,1
MANGUDI. S,Indian National Congress,1
MANIAN. O.S,All India Anna Dravida Munnetra Kazhagam,1
MANIAN.R,Independent,1
MANICKAM. K.,Independent,1
MANICKAM.K,All India Anna Dravida Munnetra Kazhagam,1
MANICKAVEL. R,Independent,1
MANI G,Independent,1
MANI GOUNDER,Tamilaga Vettri Kazhagam,1
MANI. K,All India Youth Development Party,1
MANIKANDAN,Independent,1
MANIKANDAN.A.I,Independent,1
MANIKANDAN. D,Independent,1
MANIKANDAN.H,Independent,1
MANIKANDAN. K,Independent,1
MANIKANDAN.L,Independent,1
MANIKANDAN. M,Tamilaga Vettri Kazhagam,1
MANIKANDAN. M,Dravida Munnetra Kazhagam,1
MANIKANDAN. M,Independent,1
MANIKANDAN. M.,Independent,1
MANIKANDAN N,Independent,1
MANIKANDAN. P,Independent,1
MANIKANDAN.P,Independent,1
MANIKANDAN R,Independent,1
MANIKANDAN. R,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
MANIKANDAN. S.,Vishwa Tamil Kazhagam,1
MANIKANDAN.S,Independent,1
MANIKANDAN T,Independent,1
MANIKANDAN. T,Independent,1
MANIKANDAN V,Independent,1
MANIKANDAPRABHU. N C,Independent,1
MANIKANNAN. A,Independent,1
MANIKKAM. P,Independent,1
MANILA. S,Tamizhaga Vaazhvurimai Katchi,1
MANI. M,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1
MANIMALA  R,Independent,1
MANIMARAN,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1
MANIMARAN. A.,Independent,1
MANIMARAN. D,Independent,1
MANIMARAN. G,Naam Tamilar Katchi,1
MANIMARAN.M,Dravida Munnetra Kazhagam,1
MANIMARAN P,Independent,1
MANIMARAN.P,Independent,1
MANIMARAN. R,Independent,1
MANI. R,All India Anna Dravida Munnetra Kazhagam,1
MANI. V,Independent,1
MANIVANNAN,Independent,1
MANIVANNAN. S,Independent,1
MANIVANNAN. S.,Independent,1
MANIVASAGAM.S,Independent,1
MANJUNATH.K,Independent,1
MANMATHAN. M,Independent,1
MANOHARAN,Independent,1
MANOHARAN. K. A.,Independent,1
MANOHARAN.K.A,Independent,1
MANOHARAN.M,Independent,1
MANOHAR.C,Independent,1
MANOJKUMAR M,Independent,1
MANOJ KUMAR R,Independent,1
MANOJ. P,Independent,1
MANOJ.S,Independent,1
MANOKARAN. A,Independent,1
MANOKARAN.K,Independent,1
MANSOOR ALIKHAN,Independent,1
M. ANUSIYA,Naam Tamilar Katchi,1
MARAGATHAM KUMARAVEL.K,All India Anna Dravida Munnetra Kazhagam,1
MARAGATHAM VETRIVEL,All India Anna Dravida Munnetra Kazhagam,1
MARAM MASILAMANI.B.S,Naam Tamilar Katchi,1
MARIA AROCKIAM S,Independent,1
MARIA JENNIFER,Naam Tamilar Katchi,1
MARIA JOHN,Tamilaga Vettri Kazhagam,1
MARIAMMAL. P.M,Independent,1
MARIA STELLA,Naam Tamilar Katchi,1
MARIKANNU. C,Republican Party of India (Athawale),1
MARIKKANNU A,Independent,1
MARIKKANNU. E,Independent,1
MARIMUTHU.A.V.M,Independent,1
MARIMUTHU K,Bahujan Samaj Party,1
MARIMUTHU.K,Communist Party of India,1
MARIMUTHU.M,Independent,1
MARIMUTHU. S,Puthiya Tamilagam,1
MARISAMY V.,Puthiya Tamilagam,1
MARIVEL. K,Independent,1
MARIYA FRANCIS.S,Independent,1
MARIYAPPAN R,Ganasangam Party of India,1
MARKANDAYAN G V,Dravida Munnetra Kazhagam,1
MARNADU.M,Independent,1
M. ARUNA,Independent,1
M. ARUNAGIRI,Naam Tamilar Katchi,1
M.ARUNKUMAR,Independent,1
M.ARUNKUMAR,Naam Tamilar Katchi,1
MARUTHU PANDIAN P.,Independent,1
M.ASHOK KUMAR,Independent,1
MASOOD.S,Independent,1
M.A.T. ARCHUNAN,Independent,1
MATHAN C,Tamilaga Vettri Kazhagam,1
MATHANRAJ. P,Independent,1
MATHESH. R,Independent,1
MATHESWARAN C,Puthiya Tamilagam,1
MATHI. MANIKANDAN,Tamilaga Vettri Kazhagam,1
MATHIVENTHAN M DR,Dravida Munnetra Kazhagam,1
MATHIYALAGAN. G,Independent,1
MATHIYALAGAN. P,Independent,1
MATHIYALAGAN  V.P,Tamilaga Vettri Kazhagam,1
MAYAKANNAN. N,Independent,1
MAYAKKANNAN. R,Independent,1
MAYAKKANNAN. V,Independent,1
